"Mod name","Registry name","Entity class name","ID"
"Minecraft","minecraft:allay","net.minecraft.class_7298",0
"Minecraft","minecraft:area_effect_cloud","net.minecraft.class_1295",1
"Minecraft","minecraft:armor_stand","net.minecraft.class_1531",2
"Minecraft","minecraft:arrow","net.minecraft.class_1667",3
"Minecraft","minecraft:axolotl","net.minecraft.class_5762",4
"Minecraft","minecraft:bat","net.minecraft.class_1420",5
"Minecraft","minecraft:bee","net.minecraft.class_4466",6
"Minecraft","minecraft:blaze","net.minecraft.class_1545",7
"Minecraft","minecraft:block_display","net.minecraft.class_8113$class_8115",8
"Minecraft","minecraft:boat","net.minecraft.class_1690",9
"Minecraft","minecraft:camel","net.minecraft.class_7689",10
"Minecraft","minecraft:cat","net.minecraft.class_1451",11
"Minecraft","minecraft:cave_spider","net.minecraft.class_1549",12
"Minecraft","minecraft:chest_boat","net.minecraft.class_7264",13
"Minecraft","minecraft:chest_minecart","net.minecraft.class_1694",14
"Minecraft","minecraft:chicken","net.minecraft.class_1428",15
"Minecraft","minecraft:cod","net.minecraft.class_1431",16
"Minecraft","minecraft:command_block_minecart","net.minecraft.class_1697",17
"Minecraft","minecraft:cow","net.minecraft.class_1430",18
"Minecraft","minecraft:creeper","net.minecraft.class_1548",19
"Minecraft","minecraft:dolphin","net.minecraft.class_1433",20
"Minecraft","minecraft:donkey","net.minecraft.class_1495",21
"Minecraft","minecraft:dragon_fireball","net.minecraft.class_1670",22
"Minecraft","minecraft:drowned","net.minecraft.class_1551",23
"Minecraft","minecraft:egg","net.minecraft.class_1681",24
"Minecraft","minecraft:elder_guardian","net.minecraft.class_1550",25
"Minecraft","minecraft:end_crystal","net.minecraft.class_1511",26
"Minecraft","minecraft:ender_dragon","net.minecraft.class_1510",27
"Minecraft","minecraft:ender_pearl","net.minecraft.class_1684",28
"Minecraft","minecraft:enderman","net.minecraft.class_1560",29
"Minecraft","minecraft:endermite","net.minecraft.class_1559",30
"Minecraft","minecraft:evoker","net.minecraft.class_1564",31
"Minecraft","minecraft:evoker_fangs","net.minecraft.class_1669",32
"Minecraft","minecraft:experience_bottle","net.minecraft.class_1683",33
"Minecraft","minecraft:experience_orb","net.minecraft.class_1303",34
"Minecraft","minecraft:eye_of_ender","net.minecraft.class_1672",35
"Minecraft","minecraft:falling_block","net.minecraft.class_1540",36
"Minecraft","minecraft:fireball","net.minecraft.class_1674",57
"Minecraft","minecraft:firework_rocket","net.minecraft.class_1671",37
"Minecraft","minecraft:fishing_bobber","net.minecraft.class_1536",123
"Minecraft","minecraft:fox","net.minecraft.class_4019",38
"Minecraft","minecraft:frog","net.minecraft.class_7102",39
"Minecraft","minecraft:furnace_minecart","net.minecraft.class_1696",40
"Minecraft","minecraft:ghast","net.minecraft.class_1571",41
"Minecraft","minecraft:giant","net.minecraft.class_1570",42
"Minecraft","minecraft:glow_item_frame","net.minecraft.class_5915",43
"Minecraft","minecraft:glow_squid","net.minecraft.class_5776",44
"Minecraft","minecraft:goat","net.minecraft.class_6053",45
"Minecraft","minecraft:guardian","net.minecraft.class_1577",46
"Minecraft","minecraft:hoglin","net.minecraft.class_4760",47
"Minecraft","minecraft:hopper_minecart","net.minecraft.class_1700",48
"Minecraft","minecraft:horse","net.minecraft.class_1498",49
"Minecraft","minecraft:husk","net.minecraft.class_1576",50
"Minecraft","minecraft:illusioner","net.minecraft.class_1581",51
"Minecraft","minecraft:interaction","net.minecraft.class_8150",52
